Producción;Código departamento;Código municipio;Departamento;Municipio
4278.3;52;52473;Nariño;Mosquera
22943;95;95200;Guaviare;Miraflores
5169.3;70;70400;Sucre;La Unión
464342.02;68;68770;Santander;Suaita
205028.03;73;73001;Tolima;Ibagué
26072.16;5;5120;Antioquia;Cáceres
998.14;27;27810;Chocó;Unión Panamericana ( Animas)
2710.58;15;15667;Boyacá;San Luis de Gaceno
3415.02;25;25178;Cundinamarca;Chipaque
148439.23;25;25851;Cundinamarca;Útica
9606.17;73;73622;Tolima;Roncesvalles
4940.43;19;19821;Cauca;Toribío
19500.08;5;5138;Antioquia;Cañasgordas
343.45;68;68132;Santander;California
97799.27;68;68655;Santander;Sabana de Torres
228962;68;68575;Santander;Puerto Wilches
4134.41;8;8634;Atlántico;Sabanagrande
6352;15;15272;Boyacá;Firavitoba
65648.97;50;50150;Meta;Castilla la Nueva
22068.02;13;13894;Bolívar;Zambrano
47391.83;19;19450;Cauca;Mercaderes
227739.58;68;68307;Santander;Girón
21676;70;70001;Sucre;Sincelejo
35908.68;5;5664;Antioquia;San Pedro
10253.85;18;18756;Caquetá;Solano
141879.46;73;73585;Tolima;Purificación
14106.66;86;86001;Putumayo;Mocoa
3573.4;27;27787;Chocó;Tadó
7025.75;54;54099;Norte de Santander;Bochalema
3480.62;68;68250;Santander;El Peñón
18517.43;13;13140;Bolívar;Calamar
21706.41;15;15109;Boyacá;Buenavista
27635.83;54;54174;Norte de Santander;Chitagá
80654.1;20;20001;Cesar;Valledupar
5897.79;25;25086;Cundinamarca;Beltrán
7634.76;15;15897;Boyacá;Zetaquirá
497.1;68;68425;Santander;Macaravita
14710.69;5;5649;Antioquia;San Carlos
1368.27;15;15761;Boyacá;Somondoco
3726.07;68;68872;Santander;Villanueva
308352.6;19;19256;Cauca;El Tambo
82751.99;19;19622;Cauca;Rosas
30441.29;17;17873;Caldas;Villamaria
16813.2;25;25407;Cundinamarca;Lenguazaque
81592.07;25;25489;Cundinamarca;Nimaima
4966.44;27;27580;Chocó;Rio Iró (Santa Rita)
21825.5;13;13248;Bolívar;El Guamo
502652.91;76;76306;Valle del Cauca;Ginebra
45452.35;15;15804;Boyacá;Tibaná
130860.24;23;23807;Córdoba;Tierralta
5356.55;17;17442;Caldas;Marmato
94887.55;68;68820;Santander;Tona
25867.86;20;20787;Cesar;Tamalameque
1287;5;5390;Antioquia;La Pintada
31503.54;13;13430;Bolívar;Magangué
15743.81;95;95015;Guaviare;Calamar
52357.05;25;25430;Cundinamarca;Madrid
7933.42;5;5088;Antioquia;Bello
1295.12;15;15550;Boyacá;Pisba
1450.05;15;15092;Boyacá;Betéitiva
1126.94;25;25486;Cundinamarca;Nemocón
11609.39;70;70233;Sucre;El Roble
78884.02;25;25183;Cundinamarca;Chocontá
49295.65;76;76869;Valle del Cauca;Vijes
72884.24;13;13006;Bolívar;Achí
59787.2;73;73055;Tolima;Armero (Guayabal)
